ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
0.0015,,,,,0.0132,,,,,,0.0827,,0.2711,0.0097,,,,,,,,0.0252,,,,,,,,,,,,0.0116,,,,,,,,,,,0.0423,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0118,,0.0001,0.0222,0.044,0.1167,0.1906
0.0009,,,,,0.0131,,,,,,0.0813,,0.2681,0.0081,,,,,,,,0.025,,,,,,,,,,,,0.0101,,,,,,,,,,,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097,,0.0001,0.0217,0.0418,0.1029,0.1879
0.0008,,,,,0.0108,,,,,,0.0807,,0.253,0.0073,,,,,,,,0.0238,,,,,,,,,,,,0.0096,,,,,,,,,,,0.0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092,,0.0001,0.0212,0.0418,0.0909,0.1785
0.0007,,,,,0.0091,,,,,,0.0783,,0.241,0.0062,,,,,,,,0.0197,,,,,,,,,,,,0.0086,,,,,,,,,,,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.0001,0.0209,0.038,0.0709,0.1776
0.0004,,,,,0.0073,,,,,,0.0743,,0.2375,0.0059,,,,,,,,0.0195,,,,,,,,,,,,0.0083,,,,,,,,,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0,0.0205,0.0377,0.0632,0.1769
0.0003,,,,,0.0071,,,,,,0.0737,,0.234,0.005,,,,,,,,0.0178,,,,,,,,,,,,0.0073,,,,,,,,,,,0.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067,,,0.018,0.0358,0.0573,0.1678
0.0003,,,,,0.0067,,,,,,0.0718,,0.2335,0.0045,,,,,,,,0.0175,,,,,,,,,,,,0.0072,,,,,,,,,,,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066,,,0.0176,0.0356,0.055,0.1658
0.0001,,,,,0.0066,,,,,,0.0672,,0.2332,0.0044,,,,,,,,0.0093,,,,,,,,,,,,0.0049,,,,,,,,,,,0.0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062,,,0.0173,0.0353,0.0543,0.1456
0.0001,,,,,0.0066,,,,,,0.0656,,0.2304,0.002,,,,,,,,0.0084,,,,,,,,,,,,0.0047,,,,,,,,,,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059,,,0.0167,0.0325,0.0536,0.1351
0.0001,,,,,0.0039,,,,,,0.0623,,0.2155,0.0008,,,,,,,,0.0049,,,,,,,,,,,,0.0045,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057,,,0.016,0.0282,0.0466,0.1149
,,,,,0.0039,,,,,,0.0609,,0.2003,0.0003,,,,,,,,0.0041,,,,,,,,,,,,0.0037,,,,,,,,,,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057,,,0.0146,0.0276,0.0466,0.1129
,,,,,0.003,,,,,,0.0586,,0.1922,0.0002,,,,,,,,0.0036,,,,,,,,,,,,0.0027,,,,,,,,,,,0.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,,,0.0124,0.0244,0.0391,0.1076
