ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,,,,,,,,,,465,,148624,,,,,,,,,,,,,,,,,,,,,20415,,,,,,,,,,,30200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5557,,,9048
,,,,,,,,,,,406,,145000,,,,,,,,,,,,,,,,,,,,,18846,,,,,,,,,,,27508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4459,,,8570
,,,,,,,,,,,318,,142300,,,,,,,,,,,,,,,,,,,,,17744,,,,,,,,,,,27020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629,,,8418
,,,,,,,,,,,300,,138227,,,,,,,,,,,,,,,,,,,,,16974,,,,,,,,,,,26978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449,,,8271
,,,,,,,,,,,226,,137518,,,,,,,,,,,,,,,,,,,,,16703,,,,,,,,,,,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429,,,8000
,,,,,,,,,,,143,,136475,,,,,,,,,,,,,,,,,,,,,16562,,,,,,,,,,,24800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333,,,7887
,,,,,,,,,,,100,,133777,,,,,,,,,,,,,,,,,,,,,15647,,,,,,,,,,,24316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,,,7556
,,,,,,,,,,,70,,132890,,,,,,,,,,,,,,,,,,,,,15600,,,,,,,,,,,24100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,,,7098
,,,,,,,,,,,15,,132447,,,,,,,,,,,,,,,,,,,,,14616,,,,,,,,,,,23910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,,,6484
,,,,,,,,,,,3,,130000,,,,,,,,,,,,,,,,,,,,,13700,,,,,,,,,,,23800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,6435
